bathrooms,bedrooms,price,square_feet
-0.6182262954988924,-1.8559947735260767,-0.0901530391260233,-1.587877250201915
-0.6182262954988924,-1.8559947735260767,-0.5219259686585525,-1.5707811757901786
-0.6182262954988924,-1.8559947735260767,0.9173171297832114,-1.544187282260811
-0.6182262954988924,-1.8559947735260767,0.00734407399422523,-1.528990771672601
-0.6182262954988924,-1.8559947735260767,0.1930528608899367,-1.4302134528492356
-0.6182262954988924,-0.7935977652318397,0.06769942973533147,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,0.06769942973533147,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.4522851735726607,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.49871237029658855,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.8004891490021198,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.8237027473640837,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.8757012076948829,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.8933435424499755,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.9629843375358672,-1.411217814613973
-0.6182262954988924,-0.7935977652318397,-0.6844211571923,-1.3827243572610792
-0.6182262954988924,-0.7935977652318397,0.4762587609058967,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.08086759978123773,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.3640734997971977,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.5312114080033381,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.5451395670205165,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.5776386047272659,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.6844211571923,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.7076347555542639,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.7772755506401557,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.7772755506401557,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.7819182703125486,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.8283454670364764,-1.3751261019669743
-0.6182262954988924,-0.7935977652318397,-0.6844211571923,-1.373226538143448
-0.6182262954988924,-1.8559947735260767,-0.271219106349342,-1.3675278466728693
-0.6182262954988924,-1.8559947735260767,-0.3130035834008771,-1.3637287190258167
-0.6182262954988924,-0.7935977652318397,-0.506140721772417,-1.3637287190258167
-0.6182262954988924,-1.8559947735260767,-0.22014918995302132,-1.358030027555238
-0.6182262954988924,-0.7935977652318397,-0.6379939604683722,-1.3542308999081856
-0.6182262954988924,-0.7935977652318397,-0.7447765129334063,-1.3542308999081856
-0.6182262954988924,-0.7935977652318397,-0.8933435424499755,-1.3542308999081856
-0.6182262954988924,-1.8559947735260767,-0.3640734997971977,-1.3523313360846592
-0.6182262954988924,-1.8559947735260767,0.1930528608899367,-1.350431772261133
-0.6182262954988924,-0.7935977652318397,-0.6612075588303361,-1.335235261672923
-0.6182262954988924,-1.8559947735260767,-0.174650537163572,-1.3295365702023443
-0.6182262954988924,-0.7935977652318397,-0.7262056342438351,-1.3257374425552917
-0.6182262954988924,-0.7935977652318397,0.29054997401018523,-1.3162396234376603
-0.6182262954988924,-0.7935977652318397,0.10484118711447375,-1.3162396234376603
-0.6182262954988924,-0.7935977652318397,0.011986793666618017,-1.3162396234376603
-0.6182262954988924,-0.7935977652318397,-0.14586567519473673,-1.3162396234376603
-0.6182262954988924,-0.7935977652318397,-0.1644365538843079,-1.3162396234376603
-0.6182262954988924,-0.7935977652318397,-0.17372199322909346,-1.3162396234376603
